pkfam_index	Subgroup	Group	Uniprot_protein_human_name	Human Alias.2	Uniprot_protein_human_id	Uniprot_protein_mouse_name	Mouse Alias.2	Uniprot_protein_mouse_id	Uniprot_Gene	KRSA	UKA	PTMSEA	KEA3
82	CAMK	Ser/Thrproteinkinasefamily	CSKP	HUMAN	O14936	CSKP	MOUSE	O70589	CASK	CAMK	CASK	CASK	Not found
8	AGC	Ser/Thrproteinkinasefamily	MRCKA	HUMAN	Q5VT25	MRCKA	MOUSE	Q3UU96	CDC42BPA	DMPK	MRCK[alpha]	Not found by Ethan	CDC42BPA
493	Other	Other	CDC7	HUMAN	O00311	CDC7	MOUSE	Q9Z0H0	CDC7	Not Found By Ethan	CDC7	CDC7	CDC7
184	CMGC	Ser/Thrproteinkinasefamily	CDK12	HUMAN	Q9NYV4	CDK12	MOUSE	Q14AX6	CDK12	CDK	CRK7	Not found by Ethan	CDK12
186	CMGC	Ser/Thrproteinkinasefamily	CDK14	HUMAN	O94921	CDK14	MOUSE	O35495	CDK14	CDK	PFTAIRE1	CDK14	Not found
187	CMGC	Ser/Thrproteinkinasefamily	CDK15	HUMAN	Q96Q40	CDK15	MOUSE	Q3V3A1	CDK15	CDK	PFTAIRE2	Not found by Ethan	CDK15
188	CMGC	Ser/Thrproteinkinasefamily	CDK16	HUMAN	Q00536	CDK16	MOUSE	Q04735	CDK16	CDK	PCTAIRE1	Not found by Ethan	CDK16
193	CMGC	Ser/Thrproteinkinasefamily	CDK20	HUMAN	Q8IZL9	CDK20	MOUSE	Q9JHU3	CDK20	CDK	CCRK	Not found by Ethan	CDK20
83	CAMK	Ser/Thrproteinkinasefamily	CHK1	HUMAN	O14757	CHK1	MOUSE	O35280	CHEK1	Not Found By Ethan	CHK1	Chk1/CHEK1	CHEK1
84	CAMK	Ser/Thrproteinkinasefamily	CHK2	HUMAN	O96017	CHK2	MOUSE	Q9Z265	CHEK2	Not Found By Ethan	CHK2	Chk2/CHEK2	CHEK2
209	CMGC	Ser/Thrproteinkinasefamily	CLK3	HUMAN	P49761	CLK3	MOUSE	O35492	CLK3	CLK	CLK3	Not found by Ethan	CLK3
210	CMGC	Ser/Thrproteinkinasefamily	CLK4	HUMAN	Q9HAZ1	CLK4	MOUSE	O35493	CLK4	CLK	CLK4	Not found by Ethan	CLK4
393	Tyr	proteinkinasefamily	CSF1R	HUMAN	P07333	CSF1R	MOUSE	P09581	CSF1R	PDGFR	FmS/CSFR	Not found by Jake	CSF1R
165	CK1	Ser/Thrproteinkinasefamily	KC1G1	HUMAN	Q9HCP0	KC1G1	MOUSE	Q8BTH8	CSNK1G1	CK1	Not Found By Ethan	CK1G1/CSNK1G1	CSNK1G1
166	CK1	Ser/Thrproteinkinasefamily	KC1G2	HUMAN	P78368	KC1G2	MOUSE	Q8BVP5	CSNK1G2	CK1	CK1[gamma]2	Not found by Ethan	CSNK1G2
167	CK1	Ser/Thrproteinkinasefamily	KC1G3	HUMAN	Q9Y6M4	KC1G3	MOUSE	Q8C4X2	CSNK1G3	CK1	CK1[gamma]3	Not found by Ethan	CSNK1G3
395	Tyr	proteinkinasefamily	DDR1	HUMAN	Q08345	DDR1	MOUSE	Q03146	DDR1	DDR	DDR1	Not found by Jake	DDR1
396	Tyr	proteinkinasefamily	DDR2	HUMAN	Q16832	DDR2	MOUSE	Q62371	DDR2	DDR	DDR2	Not found by Jake	DDR2
12	AGC	Ser/Thrproteinkinasefamily	DMPK	HUMAN	Q09013	DMPK	MOUSE	P54265	DMPK	DMPK	DMPK	Not found by Ethan	DMPK
214	CMGC	Ser/Thrproteinkinasefamily	DYRK3	HUMAN	O43781	DYRK3	MOUSE	Q922Y0	DYRK3	DYRK	DYRK3	Not found by Ethan	DYRK3
215	CMGC	Ser/Thrproteinkinasefamily	DYRK4	HUMAN	Q9NR20	DYRK4	MOUSE	Q8BI55	DYRK4	DYRK	DYRK4	Not found by Ethan	DYRK4
499	Other	Other	E2AK1	HUMAN	Q9BQI3	E2AK1	MOUSE	Q9Z2R9	EIF2AK1	PEK	HRI	Not found by Ethan	EIF2AK1
500	Other	Other	E2AK2	HUMAN	P19525	E2AK2	MOUSE	Q03963	EIF2AK2	PEK	PKR	Not found by Ethan	EIF2AK2
401	Tyr	proteinkinasefamily	EPHA3	HUMAN	P29320	EPHA3	MOUSE	P29319	EPHA3	EPH	EphA3	Not found by Jake	EPHA3
402	Tyr	proteinkinasefamily	EPHA4	HUMAN	P54764	EPHA4	MOUSE	Q03137	EPHA4	EPH	EphA4	Not found by Jake	EPHA4
406	Tyr	proteinkinasefamily	EPHA8	HUMAN	P29322	EPHA8	MOUSE	O09127	EPHA8	EPH	EphA8	Not found by Jake	EPHA8
407	Tyr	proteinkinasefamily	EPHB1	HUMAN	P54762	EPHB1	MOUSE	Q8CBF3	EPHB1	EPH	EphB1	Not found by Jake	EPHB1
408	Tyr	proteinkinasefamily	EPHB2	HUMAN	P29323	EPHB2	MOUSE	P54763	EPHB2	EPH	EphB2	Not found by Jake	EPHB2
409	Tyr	proteinkinasefamily	EPHB3	HUMAN	P54753	EPHB3	MOUSE	P54754	EPHB3	EPH	EphB3	Not found by Jake	EPHB3
414	Tyr	proteinkinasefamily	ERBB4	HUMAN	Q15303	ERBB4	MOUSE	Q61527	ERBB4	EGFR	HER4	Not found by Jake	ERBB4
416	Tyr	proteinkinasefamily	FES	HUMAN	P07332	FES	MOUSE	P16879	FES	FER	Fes	Not found by Jake	FES
418	Tyr	proteinkinasefamily	FGFR2	HUMAN	P21802	FGFR2	MOUSE	P21803	FGFR2	FGFR	FGFR2	Not found by Jake	FGFR2
420	Tyr	proteinkinasefamily	FGFR4	HUMAN	P22455	FGFR4	MOUSE	Q03142	FGFR4	FGFR	FGFR4	Not found by Jake	FGFR4
424	Tyr	proteinkinasefamily	VGFR3	HUMAN	P35916	VGFR3	MOUSE	P35917	FLT4	VEGFR	FLT4	Not found by Jake	FLT4
425	Tyr	proteinkinasefamily	FRK	HUMAN	P42685	FRK	MOUSE	Q922K9	FRK	FRK	FRK	Not found by Jake	FRK
17	AGC	Ser/Thrproteinkinasefamily	GRK5	HUMAN	P34947	GRK5	MOUSE	Q8VEB1	GRK5	GRK	Not Found By Ethan	GRK5	GRK5
18	AGC	Ser/Thrproteinkinasefamily	GRK6	HUMAN	P43250	GRK6	MOUSE	O70293	GRK6	GRK	Not Found By Ethan	GRK6	GRK6
427	Tyr	proteinkinasefamily	HCK	HUMAN	P08631	HCK	MOUSE	P08103	HCK	SRC	HCK	Not found by Jake	HCK
218	CMGC	Ser/Thrproteinkinasefamily	HIPK1	HUMAN	Q86Z02	HIPK1	MOUSE	O88904	HIPK1	DYRK	HIPK1	Not found by Ethan	HIPK1
220	CMGC	Ser/Thrproteinkinasefamily	HIPK3	HUMAN	Q9H422	HIPK3	MOUSE	Q9ERH7	HIPK3	DYRK	HIPK3	Not found by Ethan	HIPK3
221	CMGC	Ser/Thrproteinkinasefamily	HIPK4	HUMAN	Q8NE63	HIPK4	MOUSE	Q3V016	HIPK4	DYRK	HIPK4	Not found by Ethan	HIPK4
357	TKL	Ser/Thrproteinkinasefamily	ILK	HUMAN	Q13418	ILK	MOUSE	O55222	ILK	MLK	Not Found By Ethan	ILK	ILK
360	TKL	Ser/Thrproteinkinasefamily	IRAK3	HUMAN	Q9Y616	IRAK3	MOUSE	Q8K4B2	IRAK3	IRAK	IRAK3	Not found by Ethan	IRAK3
436	Tyr	proteinkinasefamily	KIT	HUMAN	P10721	KIT	MOUSE	P05532	KIT	PDGFR	Kit	Not found by Jake	KIT
367	TKL	Ser/Thrproteinkinasefamily	LRRK2	HUMAN	Q5S007	LRRK2	MOUSE	Q5S006	LRRK2	Not Found By Ethan	LRRK2	LRRK2	LRRK2
282	STE	Ser/Thrproteinkinasefamily	MP2K2	HUMAN	P36507	MP2K2	MOUSE	Q63932	MAP2K2	STE7	MEK2/MAP2K2	Not found by Ethan	MAP2K2
283	STE	Ser/Thrproteinkinasefamily	MP2K3	HUMAN	P46734	MP2K3	MOUSE	O09110	MAP2K3	STE7	MKK3/MAP2K3	Not found by Ethan	MAP2K3
293	STE	Ser/Thrproteinkinasefamily	M3K14	HUMAN	Q99558	M3K14	MOUSE	Q9WUL6	MAP3K14	NIK	NIK	Not found by Ethan	MAP3K14
299	STE	Ser/Thrproteinkinasefamily	M3K3	HUMAN	Q99759	M3K3	MOUSE	Q61084	MAP3K3	STE11	Not Found By Ethan	MEKK3/MAP3K3	MAP3K3
300	STE	Ser/Thrproteinkinasefamily	M3K4	HUMAN	Q9Y6R4	M3K4	MOUSE	O08648	MAP3K4	STE11	MAP3K4	Not found by Ethan	MAP3K4
303	STE	Ser/Thrproteinkinasefamily	M3K7	HUMAN	O43318	M3K7	MOUSE	Q62073	MAP3K7	STE11	MAP3K7	Not found by Ethan	MAP3K7
307	STE	Ser/Thrproteinkinasefamily	M4K2	HUMAN	Q12851	M4K2	MOUSE	Q61161	MAP4K2	KHS	GCK	Not found by Ethan	MAP4K2
309	STE	Ser/Thrproteinkinasefamily	M4K4	HUMAN	O95819	M4K4	MOUSE	P97820	MAP4K4	MSN	NIK	Not found by Ethan	MAP4K4
310	STE	Ser/Thrproteinkinasefamily	M4K5	HUMAN	Q9Y4K4	M4K5	MOUSE	Q8BPM2	MAP4K5	KHS	KHS1	Not found by Ethan	MAP4K5
225	CMGC	Ser/Thrproteinkinasefamily	MK11	HUMAN	Q15759	MK11	MOUSE	Q9WUI1	MAPK11	p38	p38[beta]	Not found by Ethan	MAPK11
226	CMGC	Ser/Thrproteinkinasefamily	MK12	HUMAN	P53778	MK12	MOUSE	O08911	MAPK12	p38	ERK3	Not found by Ethan	MAPK12
227	CMGC	Ser/Thrproteinkinasefamily	MK13	HUMAN	O15264	MK13	MOUSE	Q9Z1B7	MAPK13	p38	p38[delta]	Not found by Ethan	MAPK13
228	CMGC	Ser/Thrproteinkinasefamily	MK14	HUMAN	Q16539	MK14	MOUSE	P47811	MAPK14	p38	MAPK14	Not found by Ethan	MAPK14
232	CMGC	Ser/Thrproteinkinasefamily	MK06	HUMAN	Q16659	MK06	MOUSE	Q61532	MAPK6	ERK	ERK3	Not found by Ethan	MAPK6
96	CAMK	Ser/Thrproteinkinasefamily	MAPK3	HUMAN	Q16644	MAPK3	MOUSE	Q3UMW7	MAPKAPK3	MAPKAPK	MAPKAPK3	Not found by Ethan	MAPKAPK3
99	CAMK	Ser/Thrproteinkinasefamily	MARK2	HUMAN	Q7KZI7	MARK2	MOUSE	Q05512	MARK2	Not Found By Ethan	MARK2	MARK2	MARK2
100	CAMK	Ser/Thrproteinkinasefamily	MARK3	HUMAN	P27448	MARK3	MOUSE	Q03141	MARK3	Not Found By Ethan	MARK3	MARK3	MARK3
442	Tyr	proteinkinasefamily	MATK	HUMAN	P42679	MATK	MOUSE	P41242	MATK	CSK	CTK	Not found by Jake	MATK
102	CAMK	Ser/Thrproteinkinasefamily	MELK	HUMAN	Q14680	MELK	MOUSE	Q61846	MELK	Not Found By Ethan	MELK	MELK	MELK
103	CAMK	Ser/Thrproteinkinasefamily	MKNK1	HUMAN	Q9BUB5	MKNK1	MOUSE	O08605	MKNK1	MAPKAPK	MNK1	Not found by Ethan	MKNK1
104	CAMK	Ser/Thrproteinkinasefamily	MKNK2	HUMAN	Q9HBH9	MKNK2	MOUSE	Q8CDB0	MKNK2	MAPKAPK	MNK2	Not found by Ethan	MKNK2
445	Tyr	proteinkinasefamily	RON	HUMAN	Q04912	RON	MOUSE	Q62190	MST1R	MET	Ron	Not found by Jake	MST1R
619	Atypical:	PI3/PI4-kinasefamily	MTOR	HUMAN	P42345	MTOR	MOUSE	Q9JLN9	MTOR	MTOR	mTOR/FRAP	Not found by Ethan	MTOR
251	NEK	Ser/Thrproteinkinasefamily	NEK11	HUMAN	Q8NG66	NEK11	MOUSE	Q8C0Q4	NEK11	NEK	Nek11	Not found by Ethan	NEK11
253	NEK	Ser/Thrproteinkinasefamily	NEK3	HUMAN	P51956	NEK3	MOUSE	Q9R0A5	NEK3	NEK	Nek3	Not found by Ethan	NEK3
257	NEK	Ser/Thrproteinkinasefamily	NEK7	HUMAN	Q8TDX7	NEK7	MOUSE	Q9ES74	NEK7	NEK	Nek7	NEK7	Not found
449	Tyr	proteinkinasefamily	NTRK3	HUMAN	Q16288	NTRK3	MOUSE	Q6VNS1	NTRK3	TRK	TRKC	Not found by Jake	NTRK3
110	CAMK	Ser/Thrproteinkinasefamily	NUAK1	HUMAN	O60285	NUAK1	MOUSE	Q641K5	NUAK1	NuaK	NuaK1	Not found by Ethan	NUAK1
111	CAMK	Ser/Thrproteinkinasefamily	NUAK2	HUMAN	Q9H093	NUAK2	MOUSE	Q8BZN4	NUAK2	NuaK	NuaK2	Not found by Ethan	NUAK2
315	STE	Ser/Thrproteinkinasefamily	OXSR1	HUMAN	O95747	OXSR1	MOUSE	Q6P9R2	OXSR1	FRAY	OSR1	Not found by Ethan	OXSR1
318	STE	Ser/Thrproteinkinasefamily	PAK3	HUMAN	O75914	PAK3	MOUSE	Q61036	PAK3	PAKA	PAK3	Not found by Ethan	PAK3
320	STE	Ser/Thrproteinkinasefamily	PAK5	HUMAN	Q9P286	PAK5	MOUSE	Q8C015	PAK5	PAKB	PAK5	Not found by Ethan	PAK5
113	CAMK	Ser/Thrproteinkinasefamily	PASK	HUMAN	Q96RG2	PASK	MOUSE	Q8CEE6	PASK	PASK	PASK	Not found by Ethan	PASK
322	STE	Ser/Thrproteinkinasefamily	TOPK	HUMAN	Q96KB5	TOPK	MOUSE	Q9JJ78	PBK	N/A	Not Found By Jake	PBK	PBK
606	Atypical:	PDK/BCKDKproteinkinasefamily	PDK1	HUMAN	Q15118	PDK1	MOUSE	Q8BFP9	PDK1	PDK1	PDK1	Not found by Jake	PDK1
27	AGC	Ser/Thrproteinkinasefamily	PDPK1	HUMAN	O15530	PDPK1	MOUSE	Q9Z2A0	PDPK1	PDK1	Not Found By Jake	PDK1/PDPK1	PDPK1
623	Atypical:	PI3/PI4-kinasefamily	PK3CG	HUMAN	P48736	PK3CG	MOUSE	Q9JHG7	PIK3CG	N/A	Not Found By Jake	PIK3CG	PIK3CG
117	CAMK	Ser/Thrproteinkinasefamily	PIM2	HUMAN	Q9P1W9	PIM2	MOUSE	Q62070	PIM2	PIM	Pim2	Not found by Jake	PIM2
520	Other	Other	PMYT1	HUMAN	Q99640	PMYT1	MOUSE	Q9ESG9	PKMYT1	N/A	MYT1	Not found by Jake	PKMYT1
522	Other	Other	PLK2	HUMAN	Q9NYY3	PLK2	MOUSE	P53351	PLK2	PLK	Not Found By Jake	PLK2	PLK2
120	CAMK	Ser/Thrproteinkinasefamily	AAPK1	HUMAN	Q13131	AAPK1	MOUSE	Q5EG47	PRKAA1	AMPK	AMPK[alpha]1	Not found by Jake	PRKAA1
121	CAMK	Ser/Thrproteinkinasefamily	AAPK2	HUMAN	P54646	AAPK2	MOUSE	Q8BRK8	PRKAA2	AMPK	AMPK[alpha]2	Not found by Jake	PRKAA2
32	AGC	Ser/Thrproteinkinasefamily	KAPCA	HUMAN	P17612	KAPCA	MOUSE	P05132	PRKACA	PKA	Not Found By Jake	PKACA/PRKACA	PRKACA
124	CAMK	Ser/Thrproteinkinasefamily	KPCD3	HUMAN	O94806	KPCD3	MOUSE	Q8K1Y2	PRKD3	PKD	PKD3	Not found by Jake	PRKD3
624	Atypical:	PI3/PI4-kinasefamily	PRKDC	HUMAN	P78527	PRKDC	MOUSE	P97313	PRKDC	PRKDC	DNAPK	Not found by Jake	PRKDC
46	AGC	Ser/Thrproteinkinasefamily	PRKX	HUMAN	P51817	PRKX	MOUSE	Q922R0	PRKX	PKA	PRKX	Not found by Jake	PRKX
47	AGC	Ser/Thrproteinkinasefamily	PRKY	HUMAN	O43930				PRKY	PKA	PRKY	Not found by Jake	PRKY
238	CMGC	Ser/Thrproteinkinasefamily	PRP4B	HUMAN	Q13523	PRP4B	MOUSE	Q61136	PRPF4B	DYRK	PRP4	Not found by Jake	PRPF4B
452	Tyr	proteinkinasefamily	FAK1	HUMAN	Q05397	FAK1	MOUSE	P34152	PTK2	FAK	FAK1	Not found by Jake	PTK2
454	Tyr	proteinkinasefamily	PTK6	HUMAN	Q13882	PTK6	MOUSE	Q64434	PTK6	SRC	Brk	Not found by Jake	PTK6
371	TKL	Ser/Thrproteinkinasefamily	RIPK3	HUMAN	Q9Y572	RIPK3	MOUSE	Q9QZL0	RIPK3	RIPK	RIPK3	Not found by Jake	RIPK3
51	AGC	Ser/Thrproteinkinasefamily	KS6A2	HUMAN	Q15349	KS6A2	MOUSE	Q9WUT3	RPS6KA2	RSK	RSK3	Not found by Jake	RPS6KA2
53	AGC	Ser/Thrproteinkinasefamily	KS6A4	HUMAN	O75676	KS6A4	MOUSE	Q9Z2B9	RPS6KA4	RSK	MSK2	Not found by Jake	RPS6KA4
531	Other	Other	RPKL1	HUMAN	Q9Y6S9	RPKL1	MOUSE	Q8R2S1	RPS6KL1	N/A	RSKL2	Not found by Jake	RPS6KL1
59	AGC	Ser/Thrproteinkinasefamily	SGK2	HUMAN	Q9HBY8	SGK2	MOUSE	Q9QZS5	SGK2	SGK	SGK2	Not found by Jake	SGK2
462	Tyr	proteinkinasefamily	SRMS	HUMAN	Q9H3Y6	SRMS	MOUSE	Q62270	SRMS	SRC	Srm	Not found by Jake	SRMS
240	CMGC	Ser/Thrproteinkinasefamily	SRPK2	HUMAN	P78362	SRPK2	MOUSE	O54781	SRPK2	N/A	SRPK2	Not found by Jake	SRPK2
324	STE	Ser/Thrproteinkinasefamily	STK10	HUMAN	O94804	STK10	MOUSE	O55098	STK10	SLK	LOK	Not found by Jake	STK10
133	CAMK	Ser/Thrproteinkinasefamily	STK11	HUMAN	Q15831	STK11	MOUSE	Q9WTK7	STK11	LKB	Lkb1	Not found by Jake	STK11
539	Other	Other	STK16	HUMAN	O75716	STK16	MOUSE	O88697	STK16	NAK	STK16	Not found by Jake	STK16
134	CAMK	Ser/Thrproteinkinasefamily	ST17A	HUMAN	Q9UEE5				STK17A	DAPK	DAPK1	Not found by Jake	STK17A
327	STE	Ser/Thrproteinkinasefamily	STK26	HUMAN	Q9P289	STK26	MOUSE	Q99JT2	STK26	N/A	Not Found By Jake	MST4/STK26	STK26
136	CAMK	Ser/Thrproteinkinasefamily	STK33	HUMAN	Q9BYT3	STK33	MOUSE	Q924X7	STK33	N/A	STK33	Not found by Jake	STK33
330	STE	Ser/Thrproteinkinasefamily	STK4	HUMAN	Q13043	STK4	MOUSE	Q9JI11	STK4	MST	Not Found By Jake	MST1/STK4	STK4
468	Tyr	proteinkinasefamily	TIE2	HUMAN	Q02763	TIE2	MOUSE	Q02858	TEK	TIE	TIE2	Not found by Jake	TEK
373	TKL	Ser/Thrproteinkinasefamily	TESK1	HUMAN	Q15569	TESK1	MOUSE	O70146	TESK1	N/A	TESK1	Not found by Jake	TESK1
374	TKL	Ser/Thrproteinkinasefamily	TESK2	HUMAN	Q96S53	TESK2	MOUSE	Q8VCT9	TESK2	N/A	TESK2	Not found by Jake	TESK2
375	TKL	Ser/Thrproteinkinasefamily	TGFR1	HUMAN	P36897	TGFR1	MOUSE	Q64729	TGFBR1	STKR	Not Found By Jake	TGFBR1	TGFBR1
550	Other	Other	TLK1	HUMAN	Q9UKI8	TLK1	MOUSE	Q8C0V0	TLK1	TLK	Not Found By Jake	TLK1	TLK1
336	STE	Ser/Thrproteinkinasefamily	TNIK	HUMAN	Q9UKE5	TNIK	MOUSE	P83510	TNIK	MSN	TNIK/ZC2	Not found by Jake	TNIK
471	Tyr	proteinkinasefamily	ACK1	HUMAN	Q07912	ACK1	MOUSE	O54967	TNK2	ACK	Ack1	Not found by Jake	TNK2
552	Other	Other	PRPK	HUMAN	Q96S44	PRPK	MOUSE	Q99PW4	TP53RK	Bud32	PRPK	Not found by Jake	TP53RK
168	CK1	Ser/Thrproteinkinasefamily	TTBK1	HUMAN	Q5TCY1	TTBK1	MOUSE	Q6PCN3	TTBK1	CK1	TTBK1	TTBK1	Not found
169	CK1	Ser/Thrproteinkinasefamily	TTBK2	HUMAN	Q6IQ55	TTBK2	MOUSE	Q3UVR3	TTBK2	CK1	TTBK2	TTBK2	Not found
472	Tyr	proteinkinasefamily	TXK	HUMAN	P42681	TXK	MOUSE	P42682	TXK	TEC	TXK	Not found by Jake	TXK
474	Tyr	proteinkinasefamily	TYRO3	HUMAN	Q06418	TYRO3	MOUSE	P55144	TYRO3	AXL	Tyro3/Sky	Not found by Jake	TYRO3
554	Other	Other	UHMK1	HUMAN	Q8TAS1	UHMK1	MOUSE	P97343	UHMK1	N/A	KIS 	Not found by Jake	UHMK1
171	CK1	Ser/Thrproteinkinasefamily	VRK2	HUMAN	Q86Y07	VRK2	MOUSE	Q8BN21	VRK2	VRK2	VRK2	VRK2	Not found
172	CK1	Ser/Thrproteinkinasefamily	VRK3	HUMAN	Q8IV63	VRK3	MOUSE	Q8K3G5	VRK3	CK1	VRK3	Not found by Jake	VRK3
559	Other	Other	WEE1	HUMAN	P30291	WEE1	MOUSE	P47810	WEE1	N/A	Wee1	Not found by Jake	WEE1
484	Other	Other	AAK1	HUMAN	Q2M2I8	AAK1	MOUSE	Q3UHJ0	AAK1	NAK	Not Found By Ethan	Not found by Ethan	AAK1
385	Tyr	proteinkinasefamily	LMTK1	HUMAN	Q6ZMQ8	LMTK1	MOUSE	Q80YE4	AATK	LMR	Lmr1	Not found by Jake	Not found
344	TKL	Ser/Thrproteinkinasefamily	ACVR1	HUMAN	Q04771	ACVR1	MOUSE	P37172	ACVR1	STKR	Not Found By Ethan	Not found by Ethan	ACVR1
348	TKL	Ser/Thrproteinkinasefamily	AVR2B	HUMAN	Q13705	AVR2B	MOUSE	P27040	ACVR2B	STKR	Not Found By Ethan	Not found by Ethan	ACVR2B
7	AGC	Ser/Thrproteinkinasefamily	AKT3	HUMAN	Q9Y243	AKT3	MOUSE	Q9WUA6	AKT3	AKT	Not Found By Ethan	Not found by Ethan	AKT3
350	TKL	Ser/Thrproteinkinasefamily	AMHR2	HUMAN	Q16671	AMHR2	MOUSE	Q8K592	AMHR2	STKR	MISR2	Not found by Ethan	Not found
353	TKL	Ser/Thrproteinkinasefamily	BMR1A	HUMAN	P36894	BMR1A	MOUSE	P36895	BMPR1A	STKR	Not Found By Ethan	Not found by Ethan	BMPR1A
355	TKL	Ser/Thrproteinkinasefamily	BMPR2	HUMAN	Q13873	BMPR2	MOUSE	O35607	BMPR2	STKR	Not Found By Ethan	Not found by Ethan	BMPR2
72	CAMK	Ser/Thrproteinkinasefamily	BRSK2	HUMAN	Q8IWQ3	BRSK2	MOUSE	Q69Z98	BRSK2	Not Found By Ethan	BRSK2	Not found by Ethan	BRSK2
74	CAMK	Ser/Thrproteinkinasefamily	KCC1D	HUMAN	Q8IU85	KCC1D	MOUSE	Q8BW96	CAMK1D	CAMK1	Not Found By Ethan	Not found by Ethan	CAMK1D
9	AGC	Ser/Thrproteinkinasefamily	MRCKB	HUMAN	Q9Y5S2	MRCKB	MOUSE	Q7TT50	CDC42BPB	DMPK	MRCK[beta]	Not found by Ethan	Not found
181	CMGC	Ser/Thrproteinkinasefamily	CDK10	HUMAN	Q15131	CDK10	MOUSE	Q3UMM4	CDK10	CDK	CDK10	Not found by Ethan	Not found
182	CMGC	Ser/Thrproteinkinasefamily	CD11A	HUMAN	Q9UQ88				CDK11A	CDK	Not Found By Ethan	Not found by Ethan	CDK11A
189	CMGC	Ser/Thrproteinkinasefamily	CDK17	HUMAN	Q00537	CDK17	MOUSE	Q8K0D0	CDK17	CDK	PCTAIRE2	Not found by Ethan	Not found
190	CMGC	Ser/Thrproteinkinasefamily	CDK18	HUMAN	Q07002	CDK18	MOUSE	Q04899	CDK18	CDK	Not Found By Ethan	Not found by Ethan	CDK18
191	CMGC	Ser/Thrproteinkinasefamily	CDK19	HUMAN	Q9BWU1	CDK19	MOUSE	Q8BWD8	CDK19	CDK	Not Found By Ethan	Not found by Ethan	CDK19
203	CMGC	Ser/Thrproteinkinasefamily	CDKL3	HUMAN	Q8IVW4	CDKL3	MOUSE	Q8BLF2	CDKL3	Not Found By Ethan	CDKL3	Not found by Ethan	CDKL3
205	CMGC	Ser/Thrproteinkinasefamily	CDKL5	HUMAN	O76039	CDKL5	MOUSE	Q3UTQ8	CDKL5	Not Found By Ethan	CDKL5	Not found by Ethan	CDKL5
206	CMGC	Ser/Thrproteinkinasefamily	CILK1	HUMAN	Q9UPZ9	CILK1	MOUSE	Q9JKV2	CILK1	Not Found By Ethan	ICK	Not found by Ethan	ICK
162	CK1	Ser/Thrproteinkinasefamily	KC1AL	HUMAN	Q8N752				CSNK1A1L	CK1	Not Found By Ethan	Not found by Ethan	CSNK1A1L
86	CAMK	Ser/Thrproteinkinasefamily	DAPK2	HUMAN	Q9UIK4	DAPK2	MOUSE	Q8VDF3	DAPK2	DAPK	DAPK2	Not found by Ethan	Not found
88	CAMK	Ser/Thrproteinkinasefamily	DCLK1	HUMAN	O15075	DCLK1	MOUSE	Q9JLM8	DCLK1	Not Found By Ethan	DCAMKL1	Not found by Ethan	DCLK1
498	Other	Other	DUSTY	HUMAN	Q6XUX3	DUSTY	MOUSE	Q6XUX1	DSTYK	N	RIPK5	Not found by Ethan	Not found
587	Atypical:	Alpha-typeproteinkinasefamily	EF2K	HUMAN	O00418	EF2K	MOUSE	O08796	EEF2K	Not Found By Ethan	Not Found By Ethan	EEF2K	EEF2K
501	Other	Other	E2AK3	HUMAN	Q9NZJ5	E2AK3	MOUSE	Q9Z2B5	EIF2AK3	PEK	Not Found By Ethan	Not found by Ethan	EIF2AK3
502	Other	Other	E2AK4	HUMAN	Q9P2K8	E2AK4	MOUSE	Q9QZ05	EIF2AK4	PEK	GCN2	Not found by Ethan	Not found
398	Tyr	proteinkinasefamily	EPHA1	HUMAN	P21709	EPHA1	MOUSE	Q60750	EPHA1	EPH	EphA1	Not found by Jake	Not found
403	Tyr	proteinkinasefamily	EPHA5	HUMAN	P54756	EPHA5	MOUSE	Q60629	EPHA5	EPH	EphA5	Not found by Jake	Not found
405	Tyr	proteinkinasefamily	EPHA7	HUMAN	Q15375	EPHA7	MOUSE	Q61772	EPHA7	EPH	EphA7	Not found by Jake	Not found
410	Tyr	proteinkinasefamily	EPHB4	HUMAN	P54760	EPHB4	MOUSE	P54761	EPHB4	EPH	EphB4	Not found by Jake	Not found
413	Tyr	proteinkinasefamily	ERBB3	HUMAN	P21860	ERBB3	MOUSE	Q61526	ERBB3	EGFR	HER3	Not found by Jake	Not found
505	Other	Other	GAK	HUMAN	O14976	GAK	MOUSE	Q99KY4	GAK	NAK	GAK	Not found by Ethan	Not found
13	AGC	Ser/Thrproteinkinasefamily	GRK1	HUMAN	Q15835	GRK1	MOUSE	Q9WVL4	GRK1	GRK	Not Found By Ethan	Not found by Ethan	GRK1
16	AGC	Ser/Thrproteinkinasefamily	GRK4	HUMAN	P32298	GRK4	MOUSE	O70291	GRK4	GRK	Not Found By Ethan	GRK4	Not found
506	Other	Other	HASP	HUMAN	Q8TF76	HASP	MOUSE	Q9Z0R0	HASPIN	Not Found By Ethan	Haspin	Not found by Ethan	HASPIN
430	Tyr	proteinkinasefamily	INSRR	HUMAN	P14616	INSRR	MOUSE	Q9WTL4	INSRR	INSR	IRR	Not found by Jake	Not found
359	TKL	Ser/Thrproteinkinasefamily	IRAK2	HUMAN	O43187	IRAK2	MOUSE	Q8CFA1	IRAK2	IRAK	IRAK2	Not found by Ethan	Not found
362	TKL	Ser/Thrproteinkinasefamily	KSR1	HUMAN	Q8IVT5	KSR1	MOUSE	Q61097	KSR1	RAF	Not Found By Ethan	Not found by Ethan	KSR1
